year,name,gender,count,percent
1999,"NICOL",f,144,0.057507757556879
1999,"LIDIA",f,141,0.056309679274444
1999,"ANNUNZIATA",f,131,0.052316084999661
1999,"CRISTIANA",f,129,0.051517366144704
1999,"ROSALIA",f,129,0.051517366144704
1999,"GIUSI",f,128,0.051118006717226
1999,"DONATELLA",f,126,0.050319287862269
1999,"ALLEGRA",f,125,0.049919928434791
1999,"CELESTE",f,124,0.049520569007312
1999,"ISABEL",f,123,0.049121209579834
1999,"MICOL",f,123,0.049121209579834
1999,"DATO MANCANTE",f,122,0.048721850152356
1999,"MATILDA",f,122,0.048721850152356
1999,"TAMARA",f,122,0.048721850152356
1999,"SANDRA",f,120,0.047923131297399
1999,"EUGENIA",f,119,0.047523771869921
1999,"IDA",f,118,0.047124412442442
1999,"MARIATERESA",f,118,0.047124412442442
1999,"TATIANA",f,118,0.047124412442442
1999,"AGATA",f,116,0.046325693587486
1999,"FATIMA",f,116,0.046325693587486
1999,"MARIA CRISTINA",f,116,0.046325693587486
1999,"JULIA",f,115,0.045926334160007
1999,"IVANA",f,114,0.045526974732529
1999,"MARILENA",f,114,0.045526974732529
1999,"ELVIRA",f,111,0.044328896450094
1999,"ASJA",f,108,0.043130818167659
1999,"IOLANDA",f,108,0.043130818167659
1999,"GEMMA",f,107,0.042731458740181
